code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1935895,True,DOUGLASS Kate,DOUGLASS K,Female,USA,United States,"[""Women's 200m Breaststroke"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",United States,,Silver,2024
1935895,True,DOUGLASS Kate,DOUGLASS K,Female,USA,United States,"[""Women's 200m Breaststroke"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935896,True,DRESSEL Caeleb,DRESSEL C,Male,USA,United States,"[""Men's 100m Butterfly"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935896,True,DRESSEL Caeleb,DRESSEL C,Male,USA,United States,"[""Men's 100m Butterfly"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935896,True,DRESSEL Caeleb,DRESSEL C,Male,USA,United States,"[""Men's 100m Butterfly"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay"", ""Men's 50m Freestyle"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935900,True,FALLON Matt,FALLON M,Male,USA,United States,"[""Men's 200m Breaststroke""]",United States,,,2024
1935901,True,FINK Nic,FINK N,Male,USA,United States,"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935901,True,FINK Nic,FINK N,Male,USA,United States,"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935901,True,FINK Nic,FINK N,Male,USA,United States,"[""Men's 100m Breaststroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935902,True,FINKE Bobby,FINKE B,Male,USA,United States,"[""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",United States,,Silver,2024
