code,current,name,name_short,name_tv,gender,function,country_code,country,nickname,medal_type,event,team,year,season
1965090,True,BOERMANS Stefan,BOERMANS S,Stefan BOERMANS,Male,Athlete,NED,Netherlands,Boom Boom,,,,2024,Summer
1965094,True,de GROOT Yorick,de GROOT Y,Yorick de GROOT,Male,Athlete,NED,Netherlands,,,,,2024,Summer
1965102,True,MYSZOR Wioleta,MYSZOR W,Wioleta MYSZOR,Female,Athlete,POL,Poland,,,,,2024,Summer
1965120,True,McRAE Khaleb,McRAE K,Khaleb McRAE,Male,Alternate Athlete,USA,United States,,,,,2024,Summer
1965125,True,NICHOLS Monae',NICHOLS M,Monae' NICHOLS,Female,Athlete,USA,United States,,,,,2024,Summer
1965135,True,BOTHA Stephanie,BOTHA S,Stephanie BOTHA,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965136,True,AUGOUSTI Taheera,AUGOUSTI T,Taheera AUGOUSTI,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965137,True,BOBBS Quanita,BOBBS Q,Quanita BOBBS,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965138,True,CHAMBERLAIN Dirkie,CHAMBERLAIN D,Dirkie CHAMBERLAIN,Female,Athlete,RSA,South Africa,Washa,,,,2024,Summer
1965139,True,CHRISTIE Erin,CHRISTIE E,Erin CHRISTIE,Female,Athlete,RSA,South Africa,"Ezza, Ez",,,,2024,Summer
1965141,True,de WAAL Kayla,de WAAL K,Kayla de WAAL,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965143,True,ISAACS Paris-Gail,ISAACS PG,Paris-Gail ISAACS,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965146,True,LOUW Marie,LOUW M,Marie LOUW,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965147,True,MALI Ongeziwe,MALI O,Ongeziwe MALI,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965148,True,MOKOENA Ntsopa,MOKOENA N,Ntsopa MOKOENA,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965149,True,MOLIKOE Edith,MOLIKOE E,Edith MOLIKOE,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965150,True,PATON Kristen,PATON K,Kristen PATON,Female,Athlete,RSA,South Africa,KP,,,,2024,Summer
1965151,True,PEARCE Hannah,PEARCE H,Hannah PEARCE,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965153,True,SEERANE Celia,SEERANE C,Celia SEERANE,Female,Athlete,RSA,South Africa,"Seal, 3ceal",,,,2024,Summer
1965154,True,SWARTS Kayla,SWARTS K,Kayla SWARTS,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965155,True,LLOYD Anelle,LLOYD A,Anelle LLOYD,Female,Athlete,RSA,South Africa,,,,,2024,Summer
1965157,True,ZULU Onthatile,ZULU O,Onthatile ZULU,Female,Athlete,RSA,South Africa,Thati,,,,2024,Summer
1965200,True,MILLER Brandon,MILLER B,Brandon MILLER,Male,Athlete,USA,United States,,,,,2024,Summer
1965202,True,LINDSEY Courtney,LINDSEY C,Courtney LINDSEY,Male,Athlete,USA,United States,,Gold,Men's 4 x 400m Relay,United States of America,2024,Summer
1965205,True,MANTZ Conner,MANTZ C,Conner MANTZ,Male,Athlete,USA,United States,,,,,2024,Summer
1965211,True,NILSEN Christopher,NILSEN C,Christopher NILSEN,Male,Athlete,USA,United States,,,,,2024,Summer
1965220,True,PRICE Deanna,PRICE D,Deanna PRICE,Female,Athlete,USA,United States,,,,,2024,Summer
1965223,True,ROBERTS Daniel,ROBERTS D,Daniel ROBERTS,Male,Athlete,USA,United States,,Silver,Men's 110m Hurdles,,2024,Summer
1965226,True,KNIGHTON Erriyon,KNIGHTON E,Erriyon KNIGHTON,Male,Athlete,USA,United States,,,,,2024,Summer
1965233,True,REESE Erin,REESE E,Erin REESE,Female,Athlete,USA,United States,,,,,2024,Summer
1965234,True,O'KEEFFE Fiona,O'KEEFFE F,Fiona O'KEEFFE,Female,Athlete,USA,United States,,,,,2024,Summer
1965246,True,KOVACS Joe,KOVACS J,Joe KOVACS,Male,Athlete,USA,United States,Little Joey (his father was also called Joe). Human Cannon,Silver,Men's Shot Put,,2024,Summer
1965250,True,MOORE Jasmine,MOORE J,Jasmine MOORE,Female,Athlete,USA,United States,,Bronze,Women's Triple Jump,,2024,Summer
1965250,True,MOORE Jasmine,MOORE J,Jasmine MOORE,Female,Athlete,USA,United States,,Bronze,Women's Long Jump,,2024,Summer
1965254,True,PRANDINI Jenna,PRANDINI J,Jenna PRANDINI,Female,Alternate Athlete,USA,United States,,,,,2024,Summer
1965262,True,KING Kyree,KING K,Kyree KING,Male,Athlete,USA,United States,,,,,2024,Summer
1965268,True,MOON Katie,MOON K,Katie MOON,Female,Athlete,USA,United States,,Silver,Women's Pole Vault,,2024,Summer
1965270,True,ORJI Keturah,ORJI K,Keturah ORJI,Female,Athlete,USA,United States,"KO, K-tor, Ketch",,,,2024,Summer
1965273,True,KORIR Leonard,KORIR L,Leonard KORIR,Male,Athlete,USA,United States,Lenny,,,,2024,Summer
1965279,True,LONG McKenzie,LONG M,McKenzie LONG,Female,Athlete,USA,United States,,,,,2024,Summer
1965282,True,MALONE-HARDIN Maggie,MALONE-HARDIN M,Maggie MALONE-HARDIN,Female,Athlete,USA,United States,,,,,2024,Summer
1965289,True,NORMAN Michael,NORMAN M,Michael NORMAN,Male,Athlete,USA,United States,,Gold,Men's 4 x 400m Relay,United States of America,2024,Summer
1965298,True,OTTERDAHL Payton,OTTERDAHL P,Payton OTTERDAHL,Male,Athlete,USA,United States,,,,,2024,Summer
1965302,True,ROBINSON Russell,ROBINSON R,Russell ROBINSON,Male,Athlete,USA,United States,,,,,2024,Summer
1965303,True,MANE Salif,MANE S,Salif MANE,Male,Athlete,USA,United States,,,,,2024,Summer
1965304,True,MATTIS Sam,MATTIS S,Sam MATTIS,Male,Athlete,USA,United States,,,,,2024,Summer
1965306,True,McEWEN Shelby,McEWEN S,Shelby McEWEN,Male,Athlete,USA,United States,Shelby Da Great,Silver,Men's High Jump,,2024,Summer
1965308,True,McLAUGHLIN-LEVRONE Sydney,McLAUGHLIN-LEVRONE,Sydney McLAUGHLIN-LEVRONE,Female,Athlete,USA,United States,Syd,Gold,Women's 400m Hurdles,,2024,Summer
1965308,True,McLAUGHLIN-LEVRONE Sydney,McLAUGHLIN-LEVRONE,Sydney McLAUGHLIN-LEVRONE,Female,Athlete,USA,United States,Syd,Gold,Women's 4 x 400m Relay,United States of America,2024,Summer
1965326,True,MORGAN Whittni,MORGAN W,Whittni MORGAN,Female,Athlete,USA,United States,,,,,2024,Summer
1965327,True,NUGUSE Yared,NUGUSE Y,Yared NUGUSE,Male,Athlete,USA,United States,The Goose,Bronze,Men's 1500m,,2024,Summer
1965366,True,DIRKZWAGER Ariana Southa,DIRKZWAGER AS,Ariana Southa DIRKZWAGER,Female,Athlete,LAO,Lao PDR,,,,,2024,Summer
